Subject,Image,Path,Similarity
151,54-14.jpg,dataset\FEI_DATABASE\TESTING\151\54-14.jpg,0.000084
155,58-14.jpg,dataset\FEI_DATABASE\TESTING\155\58-14.jpg,0.004733
106,194-14.jpg,dataset\FEI_DATABASE\TESTING\106\194-14.jpg,0.069863
009,106-14.jpg,dataset\FEI_DATABASE\TESTING\009\106-14.jpg,0.110050
173,74-14.jpg,dataset\FEI_DATABASE\TESTING\173\74-14.jpg,0.118006
158,60-14.jpg,dataset\FEI_DATABASE\TESTING\158\60-14.jpg,0.152262
046,14-14.jpg,dataset\FEI_DATABASE\TESTING\046\14-14.jpg,0.168287
074,165-14.jpg,dataset\FEI_DATABASE\TESTING\074\165-14.jpg,0.179908
034,129-14.jpg,dataset\FEI_DATABASE\TESTING\034\129-14.jpg,0.241566
025,120-14.jpg,dataset\FEI_DATABASE\TESTING\025\120-14.jpg,0.442611
059,151-01.jpg,dataset\FEI_DATABASE\TESTING\059\151-01.jpg,0.597509
095,184-07.jpg,dataset\FEI_DATABASE\TESTING\095\184-07.jpg,0.598920
