Threshold,FAR,FRR,TAR,Accuracy,Precision,Recall,F1,TP,TN,FP,FN
0.30,0.154293,0.006489,0.993511,0.846446,0.031343,0.993511,0.060769,1378,233426,42587,9
0.31,0.142305,0.006489,0.993511,0.858374,0.033894,0.993511,0.065552,1378,236735,39278,9
0.32,0.131497,0.006489,0.993511,0.869128,0.036578,0.993511,0.070558,1378,239718,36295,9
0.33,0.120864,0.006489,0.993511,0.879708,0.039668,0.993511,0.076291,1378,242653,33360,9
0.34,0.110861,0.006489,0.993511,0.889661,0.043093,0.993511,0.082604,1378,245414,30599,9
0.35,0.101158,0.006489,0.993511,0.899315,0.047032,0.993511,0.089813,1378,248092,27921,9
0.36,0.092144,0.006489,0.993511,0.908284,0.051397,0.993511,0.097737,1378,250580,25433,9
0.37,0.083304,0.006489,0.993511,0.917080,0.056543,0.993511,0.106996,1378,253020,22993,9
0.38,0.075181,0.006489,0.993511,0.925162,0.062271,0.993511,0.117197,1378,255262,20751,9
0.39,0.067957,0.006489,0.993511,0.932350,0.068438,0.993511,0.128055,1378,257256,18757,9
0.40,0.061080,0.006489,0.993511,0.939193,0.075561,0.993511,0.140440,1378,259154,16859,9
0.41,0.054653,0.006489,0.993511,0.945588,0.083703,0.993511,0.154398,1378,260928,15085,9
0.42,0.048853,0.006489,0.993511,0.951359,0.092720,0.993511,0.169610,1378,262529,13484,9
0.43,0.043313,0.006489,0.993511,0.956871,0.103353,0.993511,0.187228,1378,264058,11955,9
0.44,0.038161,0.006489,0.993511,0.961997,0.115691,0.993511,0.207249,1378,265480,10533,9
0.45,0.033343,0.007210,0.992790,0.966788,0.130151,0.992790,0.230133,1377,266810,9203,10
0.46,0.029067,0.007210,0.992790,0.971042,0.146489,0.992790,0.255307,1377,267990,8023,10
0.47,0.025162,0.007210,0.992790,0.974928,0.165465,0.992790,0.283654,1377,269068,6945,10
0.48,0.021879,0.007210,0.992790,0.978194,0.185680,0.992790,0.312848,1377,269974,6039,10
0.49,0.018702,0.007210,0.992790,0.981355,0.210583,0.992790,0.347464,1377,270851,5162,10
0.50,0.015992,0.007210,0.992790,0.984052,0.237783,0.992790,0.383672,1377,271599,4414,10
0.51,0.013615,0.007210,0.992790,0.986417,0.268160,0.992790,0.422263,1377,272255,3758,10
0.52,0.011463,0.007210,0.992790,0.988558,0.303237,0.992790,0.464575,1377,272849,3164,10
0.53,0.009590,0.007210,0.992790,0.990422,0.342197,0.992790,0.508963,1377,273366,2647,10
0.54,0.008079,0.007210,0.992790,0.991925,0.381758,0.992790,0.551462,1377,273783,2230,10
0.55,0.006583,0.007210,0.992790,0.993414,0.431121,0.992790,0.601179,1377,274196,1817,10
0.56,0.005402,0.007210,0.992790,0.994589,0.480126,0.992790,0.647239,1377,274522,1491,10
0.57,0.004427,0.007210,0.992790,0.995559,0.529819,0.992790,0.690918,1377,274791,1222,10
0.58,0.003518,0.007210,0.992790,0.996464,0.586457,0.992790,0.737349,1377,275042,971,10
0.59,0.002888,0.007210,0.992790,0.997091,0.633395,0.992790,0.773378,1377,275216,797,10
0.60,0.002297,0.008652,0.991348,0.997671,0.684420,0.991348,0.809776,1375,275379,634,12
